AssetType,Location,Status,PurchaseDate,MaintenanceHistory
Switch,Office Building B,Operational,2024-05-21,"[{'date': '2024-09-18', 'details': 'Routine maintenance 7'}, {'date': '2025-03-02', 'details': 'Routine maintenance 7'}, {'date': '2025-01-13', 'details': 'Routine maintenance 4'}, {'date': '2024-12-16', 'details': 'Routine maintenance 1'}]"
Switch,Office Building B,Operational,2024-03-14,"[{'date': '2024-11-23', 'details': 'Routine maintenance 5'}, {'date': '2024-06-17', 'details': 'Routine maintenance 6'}, {'date': '2024-11-04', 'details': 'Routine maintenance 10'}, {'date': '2024-06-26', 'details': 'Routine maintenance 5'}]"
Server,Data Center A,Under Maintenance,2022-11-06,"[{'date': '2023-10-19', 'details': 'Routine maintenance 10'}, {'date': '2023-01-13', 'details': 'Routine maintenance 4'}, {'date': '2023-04-15', 'details': 'Routine maintenance 10'}]"
Switch,Office Building B,Operational,2023-03-20,"[{'date': '2023-04-20', 'details': 'Routine maintenance 10'}, {'date': '2023-05-12', 'details': 'Routine maintenance 10'}, {'date': '2024-01-26', 'details': 'Routine maintenance 8'}, {'date': '2023-05-11', 'details': 'Routine maintenance 10'}]"
Router,Remote Site C,Decommissioned,2022-11-24,"[{'date': '2023-05-24', 'details': 'Routine maintenance 6'}]"
Router,Office Building B,Decommissioned,2021-09-14,[]
Switch,Data Center A,Decommissioned,2020-02-03,"[{'date': '2020-07-03', 'details': 'Routine maintenance 6'}]"
Router,Remote Site C,Under Maintenance,2020-05-31,"[{'date': '2021-05-23', 'details': 'Routine maintenance 8'}, {'date': '2021-04-25', 'details': 'Routine maintenance 1'}, {'date': '2021-02-24', 'details': 'Routine maintenance 1'}, {'date': '2020-07-16', 'details': 'Routine maintenance 9'}]"
Switch,Office Building B,Decommissioned,2022-05-04,"[{'date': '2022-12-18', 'details': 'Routine maintenance 5'}, {'date': '2022-10-23', 'details': 'Routine maintenance 2'}, {'date': '2022-07-15', 'details': 'Routine maintenance 6'}, {'date': '2023-03-20', 'details': 'Routine maintenance 3'}, {'date': '2022-12-29', 'details': 'Routine maintenance 1'}]"
Server,Remote Site C,Under Maintenance,2019-09-27,[]
Laptop,Data Center A,Decommissioned,2024-04-28,"[{'date': '2024-06-02', 'details': 'Routine maintenance 1'}, {'date': '2024-08-17', 'details': 'Routine maintenance 4'}]"
Laptop,Data Center A,Decommissioned,2019-11-20,"[{'date': '2020-03-21', 'details': 'Routine maintenance 5'}, {'date': '2020-03-30', 'details': 'Routine maintenance 2'}, {'date': '2020-10-13', 'details': 'Routine maintenance 10'}]"
Server,Data Center A,Operational,2020-11-10,"[{'date': '2021-02-22', 'details': 'Routine maintenance 9'}, {'date': '2021-08-18', 'details': 'Routine maintenance 2'}, {'date': '2021-02-28', 'details': 'Routine maintenance 1'}, {'date': '2021-09-23', 'details': 'Routine maintenance 1'}]"
Switch,Remote Site C,Decommissioned,2019-10-23,"[{'date': '2020-02-20', 'details': 'Routine maintenance 2'}]"
Server,Data Center A,Under Maintenance,2022-04-30,"[{'date': '2022-06-23', 'details': 'Routine maintenance 5'}]"
Server,Office Building B,Operational,2019-09-27,"[{'date': '2020-04-06', 'details': 'Routine maintenance 7'}]"
Laptop,Office Building B,Decommissioned,2019-12-10,[]
Laptop,Data Center A,Under Maintenance,2024-04-13,"[{'date': '2024-05-16', 'details': 'Routine maintenance 4'}, {'date': '2024-11-26', 'details': 'Routine maintenance 2'}, {'date': '2024-08-26', 'details': 'Routine maintenance 7'}]"
Switch,Data Center A,Decommissioned,2020-04-28,"[{'date': '2021-01-04', 'details': 'Routine maintenance 2'}, {'date': '2020-06-23', 'details': 'Routine maintenance 7'}, {'date': '2021-01-29', 'details': 'Routine maintenance 3'}, {'date': '2020-09-21', 'details': 'Routine maintenance 3'}]"
Server,Data Center A,Operational,2020-12-05,"[{'date': '2021-07-07', 'details': 'Routine maintenance 5'}, {'date': '2021-03-29', 'details': 'Routine maintenance 8'}, {'date': '2021-05-08', 'details': 'Routine maintenance 8'}, {'date': '2021-11-30', 'details': 'Routine maintenance 5'}]"
Server,Remote Site C,Operational,2022-04-29,"[{'date': '2022-08-10', 'details': 'Routine maintenance 4'}]"
Server,Remote Site C,Under Maintenance,2023-03-19,"[{'date': '2023-04-21', 'details': 'Routine maintenance 2'}, {'date': '2023-07-28', 'details': 'Routine maintenance 6'}]"
Router,Remote Site C,Decommissioned,2024-01-30,"[{'date': '2024-06-29', 'details': 'Routine maintenance 2'}, {'date': '2024-04-18', 'details': 'Routine maintenance 3'}, {'date': '2024-08-27', 'details': 'Routine maintenance 7'}]"
Server,Office Building B,Decommissioned,2021-07-01,"[{'date': '2022-06-08', 'details': 'Routine maintenance 9'}, {'date': '2022-02-23', 'details': 'Routine maintenance 6'}, {'date': '2021-09-30', 'details': 'Routine maintenance 8'}, {'date': '2021-09-23', 'details': 'Routine maintenance 3'}]"
Laptop,Office Building B,Operational,2024-06-27,"[{'date': '2024-12-02', 'details': 'Routine maintenance 2'}, {'date': '2025-03-03', 'details': 'Routine maintenance 5'}, {'date': '2024-10-13', 'details': 'Routine maintenance 2'}]"
